osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,ref,tunnel,bridge,access
"[455083993, 455083994, 165217827]","['3', '1']",Rue Guy,secondary,40,False,False,519.472,"LINESTRING (-73.5817446 45.4965496, -73.5816238 45.49652, -73.5815911 45.4965073, -73.5811659 45.4963672, -73.5807551 45.4962316, -73.5805223 45.4961555, -73.580371 45.4961042, -73.5802877 45.4960759, -73.5802487 45.4960629, -73.5801779 45.4960394, -73.5799623 45.495957, -73.5796328 45.4958205, -73.5794367 45.4957339, -73.579407 45.4957219, -73.5793265 45.4956849, -73.5792533 45.4956514, -73.5792186 45.495636, -73.5791876 45.4956227, -73.5783588 45.4952677, -73.5779759 45.4950958, -73.5779394 45.4950797, -73.5778661 45.4950488, -73.5778437 45.4950394, -73.5777475 45.494999, -73.5777125 45.494985, -73.5769461 45.4946485, -73.576648 45.49452, -73.5759731 45.4942275)",,,,
"[465411713, 465411714, 465411715, 1105271175, 1105271177, 1105271179, 191563437, 461254935, 165257881, 465408858, 465408860, 465411709, 465411710, 455083999]","['2', '4']",Rue Sherbrooke Ouest,primary,50,False,False,713.6819999999999,"LINESTRING (-73.5817446 45.4965496, -73.5816746 45.4966228, -73.5816488 45.4966483, -73.5815617 45.4967451, -73.5811691 45.4971449, -73.5811553 45.4971592, -73.5811068 45.4972101, -73.5810626 45.4972556, -73.5810464 45.4972722, -73.5807264 45.4976019, -73.5803602 45.4979583, -73.5800713 45.498254, -73.5800562 45.4982695, -73.5800033 45.4983241, -73.5799527 45.4983812, -73.5799374 45.4983969, -73.5796278 45.4987156, -73.5795884 45.4987573, -73.5795402 45.4988046, -73.5795099 45.4988362, -73.5793817 45.4989655, -73.5793328 45.4990177, -73.5793086 45.4990381, -73.579217 45.499133, -73.5788003 45.4995671, -73.5787631 45.4996031, -73.5787095 45.4996662, -73.5786677 45.4997232, -73.5786434 45.4997448, -73.5784044 45.4999866, -73.5782915 45.5000996, -73.5780424 45.5003489, -73.5780283 45.500363, -73.5779709 45.500421, -73.5779175 45.5004756, -73.5779039 45.5004894, -73.5773496 45.5010525, -73.5773334 45.501069, -73.5772902 45.5011122, -73.5772416 45.5011592, -73.5772256 45.5011753, -73.5768014 45.5016024, -73.5766585 45.5017441, -73.5766356 45.5017699, -73.5765662 45.5018414)",138,,,
"[134811809, 111771059, 465413237, 465413238, 465413240, 465413243]","['2', '4']",Rue Sherbrooke Ouest,primary,50,False,True,422.232,"LINESTRING (-73.5734869 45.5049654, -73.5735124 45.5049396, -73.5735397 45.504912, -73.5735586 45.5048957, -73.5740276 45.5044151, -73.5740776 45.5043638, -73.5741243 45.5043159, -73.5745146 45.5039158, -73.5745813 45.5038474, -73.5746588 45.5037719, -73.5747217 45.5037107, -73.5748075 45.5036251, -73.5748385 45.5035935, -73.5752118 45.5032128, -73.5752332 45.5031909, -73.5752885 45.5031327, -73.575346 45.5030795, -73.5753585 45.503067, -73.5757611 45.5026637, -73.575834 45.5025883, -73.5758539 45.5025678, -73.5759217 45.5024976, -73.5759603 45.5024575, -73.5759775 45.5024397, -73.5762073 45.5022016, -73.5764795 45.5019279, -73.5765045 45.5019047, -73.5765662 45.5018414)",138,,,
"[132093450, 1213614190, 245655774]",,Rue University,secondary,"['40', '30']",True,False,629.701,"LINESTRING (-73.5734869 45.5049654, -73.5735881 45.5050151, -73.5745753 45.5054991, -73.574852 45.5056348, -73.5753799 45.5058936, -73.576387 45.5063874, -73.5764491 45.5064179, -73.5765087 45.5064453, -73.5766978 45.5065321, -73.5769713 45.5066577, -73.5774778 45.5069043, -73.5778212 45.5070684, -73.578501 45.5074004, -73.5785873 45.507446, -73.5786259 45.5074658, -73.5798553 45.5080699, -73.5799887 45.5081418, -73.5800131 45.508155, -73.580112 45.5082068)",,,,
"[465413249, 465585475, 465585476, 465585477, 184205746, 465413236, 465413246]",2,Rue Sherbrooke Ouest,primary,50,False,False,415.776,"LINESTRING (-73.5734869 45.5049654, -73.573431 45.5050203, -73.573411 45.5050409, -73.5732105 45.5052504, -73.5731138 45.505361, -73.5730201 45.505476, -73.5729673 45.5055615, -73.5729338 45.5056151, -73.5727468 45.5059141, -73.5726531 45.5060713, -73.5726433 45.5060854, -73.572618 45.5061262, -73.5725463 45.5062475, -73.5725106 45.506305, -73.5724955 45.5063292, -73.5723444 45.5065806, -73.572302 45.5066511, -73.572264 45.5067122, -73.5722414 45.5067487, -73.5721295 45.5069287, -73.5721192 45.5069452, -73.5720917 45.506993, -73.5720626 45.5070385, -73.5720435 45.5070702, -73.5719565 45.5072141, -73.571738 45.507588, -73.5717214 45.5076154, -73.571681 45.5076829, -73.5716401 45.5077479, -73.5716267 45.5077694, -73.571337 45.5082558, -73.5713205 45.508282, -73.5712782 45.5083605)",138,,,
"[465420824, 562481866, 4886366, 465420823]",5,Avenue du Parc,secondary,40,False,True,529.7080000000001,"LINESTRING (-73.5712782 45.5083605, -73.5713928 45.5084214, -73.5715958 45.5085255, -73.5718344 45.508636, -73.5721216 45.5087689, -73.5729982 45.5091804, -73.5735887 45.5094569, -73.5736161 45.5094689, -73.5736721 45.509492, -73.5737333 45.5095172, -73.5737597 45.5095279, -73.5755836 45.5103723, -73.5756209 45.5103893, -73.5756974 45.5104247, -73.5757438 45.5104447, -73.5757769 45.5104608, -73.5758453 45.510494, -73.5761898 45.5106611, -73.5765471 45.5108289, -73.5767704 45.5109331, -73.5769203 45.5110157)",,,,
"[465586024, 41258632, 465586406, 41258631]","['2', '6']",Rue Sherbrooke Ouest,primary,50,False,False,320.50299999999993,"LINESTRING (-73.5712782 45.5083605, -73.571235 45.5084324, -73.5712217 45.5084541, -73.5710342 45.5088182, -73.5708455 45.5092257, -73.5708377 45.5092469, -73.570808 45.5093158, -73.5707777 45.5093946, -73.5707687 45.5094177, -73.570548 45.5099404, -73.5703231 45.5104452, -73.5702295 45.5106659, -73.5700841 45.511009, -73.5700723 45.5110379, -73.5700585 45.5110689, -73.570041 45.5111082)",138,,,
"[465413249, 465585475, 465585476, 465585477, 184205746, 465413236, 465413246]",2,Rue Sherbrooke Ouest,primary,50,False,True,415.7760000000001,"LINESTRING (-73.5712782 45.5083605, -73.5713205 45.508282, -73.571337 45.5082558, -73.5716267 45.5077694, -73.5716401 45.5077479, -73.571681 45.5076829, -73.5717214 45.5076154, -73.571738 45.507588, -73.5719565 45.5072141, -73.5720435 45.5070702, -73.5720626 45.5070385, -73.5720917 45.506993, -73.5721192 45.5069452, -73.5721295 45.5069287, -73.5722414 45.5067487, -73.572264 45.5067122, -73.572302 45.5066511, -73.5723444 45.5065806, -73.5724955 45.5063292, -73.5725106 45.506305, -73.5725463 45.5062475, -73.572618 45.5061262, -73.5726433 45.5060854, -73.5726531 45.5060713, -73.5727468 45.5059141, -73.5729338 45.5056151, -73.5729673 45.5055615, -73.5730201 45.505476, -73.5731138 45.505361, -73.5732105 45.5052504, -73.573411 45.5050409, -73.573431 45.5050203, -73.5734869 45.5049654)",138,,,
4886378,4,Avenue des Pins Ouest,secondary,,False,True,59.765,"LINESTRING (-73.580112 45.5082068, -73.580085 45.5082717, -73.5800695 45.5083019, -73.5798583 45.5087139)",,,,
"[453989312, 453989313, 453989311]",4,Avenue des Pins Ouest,secondary,,False,False,106.86399999999999,"LINESTRING (-73.580112 45.5082068, -73.5801431 45.5081419, -73.5801506 45.5081233, -73.5802984 45.5077567, -73.5803399 45.5076425, -73.5804433 45.5073927, -73.5804879 45.5072827)",,,,
453959372,3,Boulevard René-Lévesque Ouest,secondary,50,True,False,17.729,"LINESTRING (-73.5673717 45.5018042, -73.5672404 45.5019344)",,,,
"[456318008, 455083985, 455083986, 1164019231]",4,Boulevard Robert-Bourassa,secondary,40,True,False,279.05,"LINESTRING (-73.5673717 45.5018042, -73.5672771 45.5017325, -73.5664813 45.5012851, -73.5663451 45.5012162, -73.5663025 45.5011946, -73.5662234 45.5011546, -73.5661344 45.5011067, -73.5654703 45.5007788, -73.5654235 45.5007567, -73.5653206 45.5007087, -73.5652136 45.5006594, -73.5651549 45.5006325, -73.5648427 45.5004629, -73.5646627 45.5003586, -73.5646205 45.5003342, -73.5645302 45.5002822)",,,,
1080289799,4,Boulevard Robert-Bourassa,secondary,40,True,False,12.963,"LINESTRING (-73.5672404 45.5019344, -73.567378 45.5019999)",,,,
"[456314148, 455083973, 456314150, 41258628, 453981160, 455083977, 453981162, 453959371, 546096657]",3,Boulevard René-Lévesque Ouest,secondary,50,True,False,738.09,"LINESTRING (-73.5672404 45.5019344, -73.5671787 45.5019988, -73.566794 45.5024147, -73.5667766 45.5024334, -73.5667304 45.5024767, -73.566689 45.5025257, -73.5665403 45.5027321, -73.5664503 45.5028569, -73.5664181 45.5029056, -73.5664066 45.502923, -73.5663404 45.5030354, -73.5662778 45.5031234, -73.566248 45.5031676, -73.5658844 45.5036144, -73.5654222 45.504158, -73.5654065 45.5041795, -73.5653736 45.5042242, -73.5653383 45.5042685, -73.5646773 45.505101, -73.5646582 45.5051236, -73.564601 45.5051914, -73.5645603 45.5052448, -73.5642057 45.5057098, -73.5639445 45.5060557, -73.5639244 45.5060841, -73.5638904 45.5061234, -73.5638509 45.5061713, -73.5625607 45.5075802, -73.5625479 45.5075958, -73.5624936 45.5076709)",,,,
"[39368249, 1280928426, 1280928427]",1,Rue Saint-Urbain,secondary,40,True,False,254.41899999999995,"LINESTRING (-73.5624936 45.5076709, -73.5623869 45.5076201, -73.5612316 45.5071033, -73.5609116 45.5069551, -73.5608954 45.5069476, -73.5608373 45.5069203, -73.5607782 45.5068927, -73.5604743 45.5067535, -73.5603636 45.5066993, -73.5598894 45.5064675, -73.5598685 45.5064594, -73.5598212 45.5064429, -73.55976 45.5064216)",,,,
"[464943210, 464936534]","['3', '4']",Boulevard René-Lévesque Ouest,secondary,50,True,False,147.123,"LINESTRING (-73.5624936 45.5076709, -73.5624544 45.507722, -73.5620425 45.5081766, -73.5618269 45.5083939, -73.5615622 45.5087069, -73.5615417 45.5087333, -73.5614965 45.5087935)",,,,
464936535,2,Boulevard Saint-Laurent,secondary,40,True,False,14.957,"LINESTRING (-73.5614965 45.5087935, -73.5616579 45.5088663)",,,,
"[165334552, 165334553]",2,Rue Ontario Ouest,secondary,40,False,False,158.11500000000004,"LINESTRING (-73.5667781 45.5112631, -73.5668079 45.511192, -73.5668489 45.5111089, -73.5669736 45.510853, -73.5670192 45.5107345, -73.567074 45.5106032, -73.5673254 45.5101156, -73.5673687 45.5100316, -73.5674456 45.5099219)",,,,
332695584,2,Boulevard Saint-Laurent,secondary,40,True,False,479.8309999999999,"LINESTRING (-73.5616579 45.5088663, -73.5617669 45.5089147, -73.5621167 45.509081, -73.5626255 45.5093248, -73.5636885 45.5098211, -73.5637176 45.5098338, -73.5638084 45.5098761, -73.5639067 45.5099217, -73.5652015 45.5105198, -73.5652345 45.5105358, -73.5652696 45.5105537, -73.5653367 45.5105873, -73.5654214 45.5106283, -73.5666485 45.5111998, -73.5666831 45.5112166, -73.5667781 45.5112631)",,,,
"[464943212, 464936533]","['3', '4']",Boulevard René-Lévesque Ouest,secondary,50,True,False,146.329,"LINESTRING (-73.5616579 45.5088663, -73.5617083 45.5088089, -73.5619824 45.5084706, -73.5625573 45.5078206, -73.5625791 45.5077975, -73.5626294 45.5077404)",,,,
464943211,,Rue Saint-Urbain,secondary,40,True,False,13.104,"LINESTRING (-73.5626294 45.5077404, -73.5624936 45.5076709)",,,,
"[456314146, 456314147, 455083974, 453963142, 453981161, 4687530, 455083978, 546096658]",3,Boulevard René-Lévesque Ouest,secondary,50,True,False,738.6090000000002,"LINESTRING (-73.5626294 45.5077404, -73.5626925 45.5076665, -73.5633118 45.5069844, -73.5633747 45.5069197, -73.5639788 45.5062786, -73.5640123 45.5062429, -73.5640661 45.5061808, -73.5641064 45.5061321, -73.5643657 45.5058051, -73.5647231 45.5053542, -73.5647413 45.5053302, -73.5647809 45.5052778, -73.564833 45.5052141, -73.5655126 45.5043839, -73.565532 45.5043619, -73.56557 45.5043189, -73.5656046 45.5042741, -73.5663601 45.5032964, -73.5664173 45.5031993, -73.5664351 45.503169, -73.5664932 45.5030732, -73.5665767 45.5029481, -73.566785 45.5026575, -73.5668025 45.502633, -73.5668462 45.5025787, -73.5668961 45.5025199, -73.5672954 45.5020883, -73.5673192 45.5020636, -73.567378 45.5019999)",,,,
453963143,3,Boulevard René-Lévesque Ouest,secondary,50,True,False,13.392,"LINESTRING (-73.567378 45.5019999, -73.5674744 45.5019002)",,,,
