y,x,street_count,ref,highway,geometry
45.4965496,-73.5817446,4,,,POINT (-73.5817446 45.4965496)
45.5049654,-73.5734869,4,,,POINT (-73.5734869 45.5049654)
45.5083605,-73.5712782,3,331,,POINT (-73.5712782 45.5083605)
45.5082068,-73.580112,3,,,POINT (-73.580112 45.5082068)
45.5018042,-73.5673717,4,,,POINT (-73.5673717 45.5018042)
45.5019344,-73.5672404,4,,,POINT (-73.5672404 45.5019344)
45.5076709,-73.5624936,4,,,POINT (-73.5624936 45.5076709)
45.5087935,-73.5614965,4,,,POINT (-73.5614965 45.5087935)
45.5112631,-73.5667781,4,,,POINT (-73.5667781 45.5112631)
45.5088663,-73.5616579,4,,,POINT (-73.5616579 45.5088663)
45.5077404,-73.5626294,4,,,POINT (-73.5626294 45.5077404)
45.5019999,-73.567378,4,,,POINT (-73.567378 45.5019999)
45.5018414,-73.5765662,4,601,,POINT (-73.5765662 45.5018414)
45.5115676,-73.5781926,4,,,POINT (-73.5781926 45.5115676)
45.5110602,-73.5787397,4,,,POINT (-73.5787397 45.5110602)
45.5111996,-73.578529,3,,,POINT (-73.578529 45.5111996)
45.5103997,-73.5786352,3,,,POINT (-73.5786352 45.5103997)
45.5087139,-73.5798583,3,,,POINT (-73.5798583 45.5087139)
45.5072827,-73.5804879,3,,,POINT (-73.5804879 45.5072827)
45.503348,-73.5794938,4,,,POINT (-73.5794938 45.503348)
45.5111082,-73.570041,4,,,POINT (-73.570041 45.5111082)
45.500885,-73.5746996,2,406,,POINT (-73.5746996 45.500885)
45.4968912,-73.566804,6,,,POINT (-73.566804 45.4968912)
45.4975204,-73.5660211,3,635,,POINT (-73.5660211 45.4975204)
45.4982314,-73.5651489,3,,,POINT (-73.5651489 45.4982314)
45.4995855,-73.5635191,4,,,POINT (-73.5635191 45.4995855)
45.4996899,-73.5633727,4,,,POINT (-73.5633727 45.4996899)
45.5017165,-73.5616276,2,,crossing,POINT (-73.5616276 45.5017165)
45.4953774,-73.5661519,3,,,POINT (-73.5661519 45.4953774)
45.4961948,-73.5653643,4,,,POINT (-73.5653643 45.4961948)
45.4968894,-73.5647074,4,,,POINT (-73.5647074 45.4968894)
45.5019002,-73.5674744,4,,,POINT (-73.5674744 45.5019002)
45.5003956,-73.564393,4,,,POINT (-73.564393 45.5003956)
45.5018856,-73.5627543,3,,,POINT (-73.5627543 45.5018856)
45.5019688,-73.5629606,3,5,motorway_junction,POINT (-73.5629606 45.5019688)
45.498858,-73.5627236,3,,,POINT (-73.5627236 45.498858)
45.4954433,-73.5630136,4,,,POINT (-73.5630136 45.4954433)
45.4971457,-73.5625954,3,,,POINT (-73.5625954 45.4971457)
45.496638,-73.5642013,3,,,POINT (-73.5642013 45.496638)
45.5002531,-73.5733798,1,,,POINT (-73.5733798 45.5002531)
45.4952896,-73.5671688,3,,motorway_junction,POINT (-73.5671688 45.4952896)
45.4987944,-73.5703712,5,,,POINT (-73.5703712 45.4987944)
45.49872,-73.5702385,4,,,POINT (-73.5702385 45.49872)
45.5120839,-73.5793076,4,,,POINT (-73.5793076 45.5120839)
45.5077319,-73.5581987,3,,,POINT (-73.5581987 45.5077319)
45.5092459,-73.5574362,3,,,POINT (-73.5574362 45.5092459)
45.5068343,-73.5584525,3,6,motorway_junction,POINT (-73.5584525 45.5068343)
45.4986378,-73.5703158,4,,,POINT (-73.5703158 45.4986378)
45.5002822,-73.5645302,3,,,POINT (-73.5645302 45.5002822)
45.4976537,-73.5639613,4,,,POINT (-73.5639613 45.4976537)
45.4963284,-73.563018,3,,,POINT (-73.563018 45.4963284)
45.5016318,-73.562959,3,,,POINT (-73.562959 45.5016318)
45.4962066,-73.5677481,3,,,POINT (-73.5677481 45.4962066)
45.5099219,-73.5674456,3,,,POINT (-73.5674456 45.5099219)
45.5116945,-73.5780791,4,,,POINT (-73.5780791 45.5116945)
45.5066775,-73.5795371,3,,,POINT (-73.5795371 45.5066775)
45.506834,-73.5806409,3,,,POINT (-73.5806409 45.506834)
45.5027795,-73.5689852,3,,,POINT (-73.5689852 45.5027795)
45.4958277,-73.5670324,3,,,POINT (-73.5670324 45.4958277)
45.495737,-73.5668548,3,,,POINT (-73.5668548 45.495737)
45.4959322,-73.5627005,4,,,POINT (-73.5627005 45.4959322)
45.4962966,-73.5624983,3,,,POINT (-73.5624983 45.4962966)
45.4991294,-73.5625314,3,,,POINT (-73.5625314 45.4991294)
45.4989959,-73.5626598,4,,,POINT (-73.5626598 45.4989959)
45.4980297,-73.5615389,4,,,POINT (-73.5615389 45.4980297)
45.4985528,-73.5612603,3,,,POINT (-73.5612603 45.4985528)
45.4978039,-73.5596848,3,,,POINT (-73.5596848 45.4978039)
45.496948,-73.5591535,3,,,POINT (-73.5591535 45.496948)
45.4961539,-73.5676528,3,,,POINT (-73.5676528 45.4961539)
45.5045425,-73.5819531,3,272,,POINT (-73.5819531 45.5045425)
45.5110157,-73.5769203,3,,,POINT (-73.5769203 45.5110157)
45.5068767,-73.5572769,3,,,POINT (-73.5572769 45.5068767)
45.5064119,-73.559138,3,,,POINT (-73.559138 45.5064119)
45.5075128,-73.5586831,4,,,POINT (-73.5586831 45.5075128)
45.5064216,-73.55976,3,,,POINT (-73.55976 45.5064216)
45.5109162,-73.5787989,3,,,POINT (-73.5787989 45.5109162)
45.4942275,-73.5759731,2,,,POINT (-73.5759731 45.4942275)
45.4998057,-73.5724387,1,,,POINT (-73.5724387 45.4998057)
