osmid,y,x,street_count,ref,highway,geometry
17052772,45.5124194,-73.6600479,3,,,POINT (-73.6600479 45.5124194)
17052789,45.4905528,-73.7039501,3,62,motorway_junction,POINT (-73.7039501 45.4905528)
26232428,45.5201093,-73.5863703,4,,,POINT (-73.5863703 45.5201093)
26232430,45.5189267,-73.5874425,4,,,POINT (-73.5874425 45.5189267)
26233203,45.4937837,-73.5749264,4,,,POINT (-73.5749264 45.4937837)
26233205,45.4910961,-73.5774841,3,,,POINT (-73.5774841 45.4910961)
26233226,45.4965496,-73.5817446,4,,,POINT (-73.5817446 45.4965496)
26233234,45.5049654,-73.5734869,4,,,POINT (-73.5734869 45.5049654)
29217073,45.5100553,-73.6881158,4,,,POINT (-73.6881158 45.5100553)
29239079,45.5161351,-73.5968218,3,,,POINT (-73.5968218 45.5161351)
29239085,45.5161201,-73.5880304,3,,,POINT (-73.5880304 45.5161201)
29517075,45.4953973,-73.6201687,3,,,POINT (-73.6201687 45.4953973)
29583121,45.5026385,-73.6446278,3,,,POINT (-73.6446278 45.5026385)
29583132,45.516298,-73.6800635,3,,,POINT (-73.6800635 45.516298)
29783885,45.4949439,-73.59048,3,,,POINT (-73.59048 45.4949439)
29784599,45.5180147,-73.5816922,4,,,POINT (-73.5816922 45.5180147)
29784714,45.5008569,-73.6321761,4,385,,POINT (-73.6321761 45.5008569)
29793292,45.5083605,-73.5712782,3,331,,POINT (-73.5712782 45.5083605)
29793981,45.5082068,-73.580112,3,,,POINT (-73.580112 45.5082068)
29794074,45.5124967,-73.5694423,4,,,POINT (-73.5694423 45.5124967)
29794111,45.5223541,-73.5912894,4,,,POINT (-73.5912894 45.5223541)
29794112,45.5224092,-73.591409,4,,,POINT (-73.591409 45.5224092)
29794134,45.5168259,-73.5828148,3,,,POINT (-73.5828148 45.5168259)
29794279,45.5018042,-73.5673717,4,,,POINT (-73.5673717 45.5018042)
29794280,45.5019344,-73.5672404,4,,,POINT (-73.5672404 45.5019344)
29794284,45.5076709,-73.5624936,4,,,POINT (-73.5624936 45.5076709)
29794285,45.5087935,-73.5614965,4,,,POINT (-73.5614965 45.5087935)
29794316,45.5112631,-73.5667781,4,,,POINT (-73.5667781 45.5112631)
29795235,45.5158884,-73.5944049,2,,crossing,POINT (-73.5944049 45.5158884)
29795878,45.5127307,-73.5582752,4,,,POINT (-73.5582752 45.5127307)
